record_label_low,occurrences,record_label_major
Universal Music Argentina S.A.,371,Universal Music Group
Two Steps From Hell,371,Independent
Displeased Records,370,Independent
RLG/Legacy,370,Sony Music Entertainment
6131 Records,370,Sony Music Entertainment
Omnivore Recordings,369,Universal Music Group
Trama,369,Universal Music Group
EMI Music Canada,368,Universal Music Group
Red House Records,368,Independent
Trikont,368,Independent
Milan,368,Sony Music Entertainment
BADMUSIC.PL,367,Independent
Parlophone Portugal,367,Warner Records
Usvaputki Oy,366,Independent
LOUD Records,366,Sony Music Entertainment
Merck Records,365,Independent
EMI/EMI Records (USA),364,Universal Music Group
Syco Music UK,363,Sony Music Entertainment
P.W. Elverum & Sun,362,Independent
[PIAS] Cooperative,362,Independent
RCA/Hansa,361,Sony Music Entertainment
Musica Studios,361,Independent
Italians Do It Better,360,Independent
Cold Meat Industry,360,Independent
Atlantic Records/ATG,360,Warner Records
Modern Love,360,Universal Music Group
Universal Music Distribution Deal,360,Universal Music Group
WE LOVE MUSIC,360,Universal Music Group
Music Manager,360,Universal Music Group
Music For Nations,360,Sony Music Entertainment
Alice In...,358,Independent
Rock Ridge Music,358,Warner Records
Buckethead,357,Independent
Dirty Workz,357,Independent
Touch,356,Warner Records
Pelagic Records,356,Independent
Jalapeno Records,356,Independent
Napalm Records Handels GmbH,355,Universal Music Group
Viper Recordings,354,Universal Music Group
GSR,354,Independent
Silvertone,354,Sony Music Entertainment
Flying Nun Records,354,Independent
Important Records,354,Independent
Esoteric Recordings,353,Independent
Iron Lung Records,353,Independent
InFiné,352,Sony Music Entertainment
Ramseur Records,351,Independent
EMI Recorded Music Australia Pty Ltd,351,Universal Music Group
Metalheadz,351,Independent
Fool's Gold Records,351,Universal Music Group
Holy Records,350,Independent
Gain,350,Sony Music Entertainment
Grave Mistake Records,350,Universal Music Group
Different Recordings,350,Independent
Watertower Music,350,Warner Records
Winter Hill Records,349,Sony Music Entertainment
Polar Music International AB,349,Universal Music Group
Exploding In Sound Records,349,Independent
Defected Records,348,Universal Music Group
Universal Music Division Romance Musique,348,Universal Music Group
Black Lodge Records,348,Independent
Six Steps (SIX),348,Universal Music Group
"Sundazed Music, Inc.",348,Sony Music Entertainment
Idlewild Recordings,347,Universal Music Group
Mercury Classics,347,Universal Music Group
Tuff Gong,347,Universal Music Group
Metalville Records,345,Independent
Cocoon Recordings,345,Warner Records
Raster-Noton,345,Independent
Neurot,345,Independent
Twisted Records Ltd,344,Sony Music Entertainment
Adulruna,344,Independent
Six Feet Under Records,343,Warner Records
Casablanca Records,343,Universal Music Group
Shout Factory,343,Universal Music Group
Arbutus Records,343,Independent
Jazzland Recordings,342,Universal Music Group
Alia Vox,342,Independent
KING RECORDS,342,Independent
ROIR,342,Universal Music Group
Bethesda Softworks,342,Independent
EastWest U.K.,341,Warner Records
Menart,341,Sony Music Entertainment
Capitol,340,Universal Music Group
NoiseArt Records,340,Universal Music Group
Havoc Records,339,Sony Music Entertainment
Minimal Wave,339,Independent
London Records,338,Warner Records
Koch Music,338,Universal Music Group
Издательство Сияние,336,Independent
Shadow Kingdom Records,336,Independent
Concord Vanguard,336,Universal Music Group
Tesco Distribution Germany,336,Independent
A State of Trance,336,Universal Music Group
DistroKid.com,335,Independent
Caldo Verde Records,335,Independent
Rap-A-Lot Records,335,Sony Music Entertainment
Alive Records,334,Independent
felte,334,Independent
Rostrum Records,333,Warner Records
Läjä Records,333,Independent
Sparrow (SPR),333,Universal Music Group
Locomotive Music,333,Independent
Monotreme Records,332,Independent
SONY MUSIC TURKEY,332,Sony Music Entertainment
CCP Records,332,Universal Music Group
Far Out Recordings,332,Universal Music Group
Elektra (NEK),332,Warner Records
Fonografika,331,Independent
Northern Electronics,331,Sony Music Entertainment
Artery,331,Universal Music Group
Songbird,331,Sony Music Entertainment
Bloodlines,331,Universal Music Group
Crosstown Rebels,330,Independent
Liberation Records,330,Independent
Permanent Vacation,330,Universal Music Group
Skint Records,329,Sony Music Entertainment
CUBE ENTERTAINMENT,328,Universal Music Group
LaFace Records,328,Sony Music Entertainment
Record Makers,328,Universal Music Group
Friendly Fire Distro,328,Warner Records
Ba Da Bing!,328,Independent
Six Degrees Records,327,Independent
Beatservice Records,327,Independent
Antena Krzyku / Opensources,326,Independent
Gasoline Alley,326,Universal Music Group
Doghouse Records,326,Universal Music Group
Suntrip Records,326,Independent
Late Night Tales,325,Warner Records
Universal Music GmbH,325,Universal Music Group
La Vida Es Un Mus Discos,325,Independent
"Genie Music Corporation, Stone Music Entertainment",325,Universal Music Group
Astralwerks (ASW),325,Universal Music Group
Agora S.A.,325,Sony Music Entertainment
"NRW Records, under exclusive license to NewRetroWave, LLC",324,Independent
Bee Gees Catalog,324,Universal Music Group
Fonal,324,Independent
Mint Records,324,Independent
DarkTunes Music Group,324,Independent
Equilibrium,323,Independent
Robbins Entertainment LLC,323,Sony Music Entertainment
"ABKCO Music & Records, Inc.",322,Universal Music Group
Bedrock,321,Independent
Honest Jon's Records,320,Independent
SMP/Trollzorn Records,320,Independent
Oreade Music,320,Independent
Peacefrog Records,320,Independent
FOREFRONT RECORDS,319,Sony Music Entertainment
Hammock Music,319,Universal Music Group
UMLE - Latino,319,Universal Music Group
Warner Music Canada,319,Warner Records
Dockyard1 Records,319,Independent
Azeroth Music,318,Independent
SCI Fidelity Records,318,Independent
Nightmare Records,317,Independent
Universal Music Division Island Def Jam,317,Universal Music Group
Wagram Music / Cinq 7,316,Independent
National Own,316,Universal Music Group
Independent Artist,316,Independent
IONO MUSIC,316,Independent
Esoteric,316,Independent
Stomp Records,315,Warner Records
Sub rosa,315,Independent
Cold Busted,314,Sony Music Entertainment
WM Czech Republic,314,Universal Music Group
SHARPTONE,313,Warner Records
143/Reprise,313,Warner Records
Superball Music,313,Sony Music Entertainment
Ici d'ailleurs,313,Independent
Magnatune,313,Independent
Jarring Effects,313,Independent
Real World Productions,313,Warner Records
Loma Vista Recordings,312,Universal Music Group
Orange Mountain Music,312,Independent
Self-Released,312,Independent
Manifesto Records,311,Independent
New World Music Ltd.,311,Universal Music Group
Team Love Records,310,Independent
Coroner Records,309,Independent
Sun Records,309,Universal Music Group
MediaCube Music,309,Independent
Fervent Records/Word,309,Warner Records
3 Peace Records,309,Independent
Transubstans Records,309,Sony Music Entertainment
Ribbon Music,309,Independent
Laboratório Fantasma,308,Warner Records
SKiN GRAFT,308,Independent
Rookie Records,308,Warner Records
Two Steps from Hell,307,Independent
Rocket Recordings,307,Independent
Blue Tunes Records,307,Independent
Lusafrica,307,Independent
Arts & Crafts Productions Inc.,307,Universal Music Group
MondoTunes,306,Warner Records
City Centre Offices,306,Independent
Shock Entertainment,306,Independent
Enhanced Recordings,306,Sony Music Entertainment
Load Records,306,Independent
Kirkelig Kulturverksted,306,Independent
On-U Sound,306,Independent
Beatclap,305,Independent
Born Bad Records,304,Independent
Nature Sounds,304,Universal Music Group
Manifold Records,304,Independent
Masterworks Broadway,304,Sony Music Entertainment
Catapult,303,Independent
Palm Pictures,303,Independent
UMC-Decca,303,Universal Music Group
Jive/Legacy,303,Sony Music Entertainment
Seeking Blue,303,Independent
DBN,302,Independent
Grappa,302,Independent
APOS Music,301,Warner Records
Alphabasic,301,Independent
National,299,Universal Music Group
Hozac,299,Independent
Sony Urban Music/Columbia,299,Sony Music Entertainment
Skam Records,299,Universal Music Group
Brushfire Records/Universal,299,Universal Music Group
Throatruiner Records,298,Sony Music Entertainment
Triple B Records,298,Independent
Tooth & Nail Records,298,Universal Music Group
Echozone,298,Independent
Dial,297,Independent
Soul Jazz Records,297,Universal Music Group
G59 Records,297,Independent
Full Time Hobby,297,Warner Records
Infectious Music,297,Sony Music Entertainment
Lava,297,Warner Records
Captain Oi!,297,Independent
Audiomachine,296,Sony Music Entertainment
Hydeout Productions,296,Independent
Bastardized Recordings,296,Independent
Tip Records,296,Independent
Buback,295,Independent
Vitriol Records,295,Independent
Private Music,295,Sony Music Entertainment
Secret City Records,294,Independent
BLACK MARKET ACTIVITIES,294,Warner Records
RidingEasy Records,294,Independent
Artery Recordings,294,Independent
Paper and Plastick,293,Independent
Charly,293,Independent
Max Flo Records,293,Warner Records
Minus,293,Independent
Music For Dreams,293,Universal Music Group
Moment of Collapse Records,292,Independent
Prikosnovenie,292,Independent
Frontier,292,Independent
LuckyMe,292,Warner Records
Volcom Entertainment,292,Independent
Enormous Tunes,291,Universal Music Group
V2,291,Independent
Dream Catalogue,291,Sony Music Entertainment
Blind Pig Records,291,Sony Music Entertainment
Tempa,290,Independent
World Music,290,Independent
Be Yourself Music,289,Sony Music Entertainment
Data Airlines,289,Independent
Spotted Peccary,289,Independent
Olifant Records,288,Independent
Suburban Records,288,Universal Music Group
Avantgarde Music,287,Independent
Laced Records,287,Independent
Barneselskapet,287,Independent
F Communications,287,Warner Records
Indies Scope,286,Independent
Big Eye Music,286,Independent
Reach Records,286,Independent
Universal Music S.A.,286,Universal Music Group
David vs Goliath,285,Independent
Scantraxx Recordz,285,Independent
Roxy Recordings,285,Sony Music Entertainment
AZIMUTZVUK,285,Independent
Ulterium Records,284,Sony Music Entertainment
Daft Life Ltd./ADA France,284,Warner Records
Muti Music,284,Sony Music Entertainment
RJ's Electrical Connections,283,Universal Music Group
Aware/Columbia,283,Sony Music Entertainment
Gentle Art Of Music,283,Universal Music Group
Domo Records,283,Independent
Various Artists,283,Independent
BIS,282,Independent
"Edições Valentim de Carvalho, S.A.",282,Warner Records
Third Man Records,281,Sony Music Entertainment
Force Music Recordings,281,Independent
A$AP Worldwide/Polo Grounds Music/RCA Records,281,Sony Music Entertainment
Alpha Pup Records,281,Independent
"Comedy Dynamics, A Nacelle Company",280,Sony Music Entertainment
Immediate Music / BMG Production Music,280,Sony Music Entertainment
Six Weeks,280,Warner Records
EDGE Records (HMR Music Kft.),280,Sony Music Entertainment
Melodic,280,Independent
Reprise/Mute,278,Warner Records
Ryko/WEA,278,Warner Records
Black Beard Records,278,Independent
日本クラウン株式会社,277,Sony Music Entertainment
Autumn Hill Records,277,Independent
Madison Gate Records,277,Sony Music Entertainment
Just Music,277,Sony Music Entertainment
Shitkatapult,277,Universal Music Group
Mercury,277,Universal Music Group
BNA Records Label,276,Sony Music Entertainment
Dallas Records Croatia,276,Independent
Fiction,276,Universal Music Group
Believe,276,Warner Records
Critical Music,276,Independent
Ojalá,275,Universal Music Group
Студия СОЮЗ,275,Independent
Secret Records,275,Independent
Glitterhouse Records,275,Independent
SARAH RECORDS,274,Independent
Original Jazz Classics,274,Universal Music Group
Self Released,274,Independent
Digital Hardcore Recordings,274,Independent
Righteous Babe Records,274,Sony Music Entertainment
YEAR0001,274,Independent
NBCUniversal Entertainment,273,Universal Music Group
RT Industries,273,Universal Music Group
Radar Records,272,Warner Records
Capitol Records Nashville,272,Universal Music Group
Roy music,272,Universal Music Group
Vogue,272,Sony Music Entertainment
Manhattan Records,272,Universal Music Group
NOTON,271,Independent
Vice Records/Atlantic,271,Warner Records
Universal Music Division Virgin Records,271,Universal Music Group
Odd Future,271,Sony Music Entertainment
Virgin Babylon Records,271,Independent
Stil Vor Talent Records,271,Independent
Southern Fried Records,270,Sony Music Entertainment
Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,269,Universal Music Group
Materia Collective,269,Independent
Invisible Records,269,Independent
Little Idiot,269,Sony Music Entertainment
Hot Action Records,269,Universal Music Group
Cyclone Empire,268,Independent
Eskimo Recordings,268,Independent
Tigerbeat6,268,Sony Music Entertainment
NoCut,268,Independent
Room 40,268,Warner Records
Marilyn Manson / Interscope,267,Universal Music Group
Web Of Mimicry,267,Independent
Zeitstrafe,267,Universal Music Group
Red Stream Records,267,Independent
Cleopatra,267,Sony Music Entertainment
Dancing Bear,266,Sony Music Entertainment
Parlophone,266,Universal Music Group
Big Scary Monsters,266,Independent
Majestic Casual Records,266,Universal Music Group
Back on Black,266,Sony Music Entertainment
Minuswelt,266,Independent
Hypnotic Records,266,Independent
Dark Entries Records,265,Warner Records
True Panther Sounds,265,Warner Records
Lowtemp,265,Independent
Step Records,265,Sony Music Entertainment
Get Physical Music,265,Independent
Audiotree Music,265,Independent
Einheit Produktionen,264,Universal Music Group
Kid Ina Korner / Interscope,264,Universal Music Group
Apollo,264,Independent
Elevator Lady Ltd,264,Universal Music Group
Scat,264,Independent
ABKCO (US),264,Universal Music Group
Negative Gain Productions,264,Universal Music Group
Cash Money,263,Universal Music Group
Orange Twin,262,Independent
V.I.E.R. Ton & Merch GmbH,262,Independent
Voodoo Rhythm,262,Independent
Perfecto Records,262,Warner Records
Piranha,262,Independent
Madlib Invazion,262,Universal Music Group
Indecision Records,262,Independent
The Militia Group,262,Independent
Stickman Records,262,Independent
Six Shooter Records Inc.,262,Independent
Three One G,261,Independent
I.R.S. Records,261,Universal Music Group
Mush,261,Independent
